var,attention,ig,corr_with_y,is_true_driver,is_confounder
0,0.0031153425,0.35927722,-0.0015720138332010155,False,False
1,0.002390724,0.0019101487,0.009685357010573516,False,False
2,0.0025953413,0.0011084315,0.0011889141687123253,False,False
3,0.002621876,0.0010251047,-0.01756385933395642,False,False
4,0.0034544326,0.0010770108,-0.03959565464737823,False,False
5,0.0027238443,0.00075651775,-0.028504587206172233,False,False
6,0.002408977,0.0013060512,0.009558389203598864,False,False
7,0.004995917,0.0014345816,-0.04576511800122757,False,False
8,0.004496781,0.0035877568,0.025575996147777145,False,False
9,0.00438777,0.0012789384,0.02881936770438818,False,False
10,0.005079625,0.8305455,0.7196857554338125,True,False
11,0.002287125,0.0010056957,0.04172708676038533,False,False
12,0.0042629605,0.0020878352,0.006440261159370114,False,False
13,0.0031738675,0.0023155566,0.014893305740959609,False,False
14,0.018219816,0.01210085,-0.02187415279798752,False,False
15,0.0047279242,0.0023864242,-0.059115392684605306,False,False
16,0.0028808557,0.001591457,0.023452214686999723,False,False
17,0.0037314715,0.0017735871,0.03326597317773255,False,False
18,0.0024470943,0.0013243784,0.03065230198146382,False,False
19,0.0026331686,0.0010849605,0.028669648169250227,False,False
20,0.0033762888,0.001488018,0.04651036514443715,False,False
21,0.0028223125,0.0009763521,-0.024792839175136944,False,False
22,0.0038591714,0.0016083176,-0.038000053800345296,False,False
23,0.0035806813,0.00085244596,0.06339755291011798,False,False
24,0.0027479518,0.0017231295,0.03589012180370714,False,False
25,0.0026469126,0.0009478286,0.004817581156345035,False,False
26,0.0036526043,0.0015505677,-0.011786342909706133,False,False
27,0.002399975,0.001158539,-0.006380053550719397,False,False
28,0.002504201,0.0019687002,-0.086673769260978,False,False
29,0.0027936066,0.0011920873,-0.0284372285799976,False,False
30,0.0030417782,0.0014673261,-0.017242113511778904,False,False
31,0.002608601,0.0013124046,0.02625920653568566,False,False
32,0.0028399937,0.0011218209,0.03922937502185693,False,False
33,0.0036589815,0.0009889697,0.02585465114167525,False,False
34,0.002674012,0.0012703479,-0.002942851071650087,False,False
35,0.004319013,0.0015355014,0.00987530050585358,False,False
36,0.0042919144,0.0013160548,0.01959056068647746,False,False
37,0.0032604488,0.0009794986,-0.05297827930872513,False,False
38,0.0024983594,0.0010551905,-0.018491949732218738,False,False
